mmsi,imo_number,ship_name,call_sign,ship_type_code,ship_category,length_m,beam_m,draught_m,destination
574004420,9321964,APOLLO,XVGP7,80,Tanker,238,42,8,SINGAPORE
574972000,9565259,PHUC THUAN 36,XVFH,70,Cargo,79,12,3,JURONG/SINGAPORE
613003614,9258868,NOCTIS,TJM0088,80,Tanker,251,44,14.2,SG-PEBGB
624021000,9617404,JIGJIGA,ETJJ,70,Cargo,166,27,8.3,SGSIN PEBGA
636013119,9333993,YM INTERACTION,A8KS7,74,Cargo,172,27,9,ANCHORAGE  AWH
636013353,9390939,SOVEREIGN,A8MJ7,80,Tanker,228,32,8.2,SINGAPORE
636015475,9445215,FPMC B KINGDOM,D5AZ4,70,Cargo,300,50,9.1,SGPPEBGC
636015619,9284697,STOLT ENDURANCE,D5BW5,85,Tanker,174,28,7.3,CNHUA
636016118,9204477,JOANNA,D5EO2,73,Cargo,184,25,10.1,SGSIN PEBGA
636016653,9531727,M T VAYU,D5HD6,89,Tanker,,,4.3,SG-PEBGB
636016705,9496628,YM EXPRESS,D5HJ4,70,Cargo,259,37,9.8,MYPKG>PWBGA
636016811,9701126,SPM ARJUN,D5HX8,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,72,17,4.8,SINGAPORE AWW
636016951,9724623,AMFITRION,D5IO6,80,Tanker,183,32,11.5,EAST SINGAPORE
636017005,9300594,ARABELLA,D5IV8,70,Cargo,290,45,9.2,SINGAPORE
636017158,9476836,KORONA D,D5JO5,70,Cargo,292,45,8.1,SG SIN
636017501,9760495,NORTH SEA,D5LG9,89,Tanker,228,40,9,SGSIN ARAFR
636017971,9275062,HALLEY,A8EG9,74,Cargo,209,30,9.1,SURABAYA
636018023,9737711,TIAN TAI SHAN,D5NV4,70,Cargo,199,32,11.1,SINGAPORE
636018475,9316828,CAPE MED,D5PV6,70,Cargo,290,47,18.1,SG PEBGB
636018514,9778301,CIELO ROSSO,D5QA7,80,Tanker,228,36,11.9,PEBGB
636018899,,,D5RX7,80,Tanker,183,32,,
636018934,9516935,DELTA APOLLONIA,D5SC3,80,Tanker,333,60,11.5,SINGAPORE PEBGC
636019337,9845049,FSL KELANG,D5UB2,70,Cargo,172,24,7.8,SGSIN
636019713,9602655,SEA GEM,D5VU4,80,Tanker,333,60,20.5,SG PEBGB
636019927,9893773,NORD VALKYRIE,D5WV2,80,Tanker,183,32,10.1,SGSIN ANCH
636020418,9619804,STAR JEANNETTE,D5ZD5,70,Cargo,229,32,13.3,SGSIN
636020436,9333072,NATAL,A8NX7,79,Cargo,222,32,9.1,MYTPT
636020761,9902615,BARAKAH,5LAP3,80,Tanker,333,60,19.7,SGSIN / PWBGA
636020835,9364239,SOFIA II,5LAY4,9,Type 9,229,42,8.2,SGSIN PEBGC
636021434,9469780,PACIFIC INTEGRITY,5LDX4,79,Cargo,148,23,6.6,PEBGA
636021474,9809083,LITTLEMILL,5LEC4,80,Tanker,139,20,5.2,SINGAPORE
636021766,9512563,NADINE V,5LFO6,70,Cargo,235,38,14.5,SINGAPORE
636022036,9971006,MONICA,5LGW5,70,Cargo,172,27,10,PEBGA
636022154,9330111,AE MARS,5LHK7,70,Cargo,190,32,6.2,PEBGB SIN
636022920,9934747,MSC MARIELLA,5LLB6,74,Cargo,399,61,15.9,SGSIN_PWBGB
636022972,9273844,AFRAMAX RIO,5LLH6,80,Tanker,247,42,8.3,SINGAPORE
636023015,9970454,SINAR SABA,5LLN6,70,Cargo,172,28,6.7,SIN PWBGA
636023026,9967287,MELBOURNE BRIDGE,5LLO9,70,Cargo,272,43,10.4,KRPUS
636023450,9444974,SEA STAR 1,5LNU2,70,Cargo,172,28,6.5,SGSIN
636023956,9994541,PACIFIC JET,5LQG4,80,Tanker,183,32,8.8,SG SIN
636024183,9187394,STENSTRAUM,D5YF5,80,Tanker,145,,8,SINGAPORE
636024313,1051226,SEA ADVENTURE,5LRZ7,80,Tanker,183,32,12.8,SINGAPORE
636024677,1030040,MUGELLO,5LTT9,80,Tanker,228,36,7.8,MY TPP>SG PWBGA
636024881,9298753,BOUBOULINA,5LUT2,80,Tanker,274,50,9.5,"SG PEBG""B"""
636025620,9986116,SHAFALLAH,5LYI4,80,Tanker,295,47,9.5,SGSIN PGBG
636025995,9318072,DOKOS,A8BY2,80,Tanker,274,48,10.4,SG AEPA
636026066,9292266,MSC MIRA V,A8GR7,71,Cargo,294,32,7.5,SGSIN_TUAS
636026265,9315147,ECUADOR PROSPERITY,A8QA4,80,Tanker,333,60,11,AEPA
636091575,9373474,HANSA  AUGSBURG,A8PN3,71,Cargo,176,28,9.7,VNHPH
636093121,9193288,DALLAS EXPRESS,5LGX8,71,Cargo,294,32,11,SGSIN PWBGA
636093305,9290464,NORWALK,5LRD2,71,Cargo,300,42,13.5,BRSSZ
667001686,9088768,KATINGAN EXPRESS,SSD,70,Cargo,81,13,3.4,AEW-SG
667002156,9141209,TRANSIT SEDANKA,9LU2959,70,Cargo,128,21,4.5,PGBG
667002380,1050014,SHENG SHA 12,9LS2083,90,Other,146,22,3.8,JBPL
668116417,9478509,HAI XIANG 19,S9A3217,80,Tanker,119,18,5.2,SG PEBGC
677034400,8952857,GOLDEN STAR 1,5IM444,70,Cargo,67,18,3,SINGAPORE
